centro_id,tipo_centro,codigo_dane,municipio,departamento,latitud,longitud,categoria_cale,demanda_estimada_anual,nodo_principal,codigo_dane_nodo,total_municipios_cluster,distancia_maxima_km,distancia_promedio_km
NODO_01,NODO_PRINCIPAL,1111001.0,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4.649251,-74.106992,Cat.A+,80453,NODO_02,1111001.0,7,0.0,0.0
NODO_02,NODO_PRINCIPAL,1111001.0,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4.649251,-74.106992,Cat.A+,70396,NODO_02,1111001.0,7,0.0,0.0
NODO_03,NODO_PRINCIPAL,6868001.0,Bucaramanga,SANTANDER,7.11647,-73.132562,Cat.A+,68000,NODO_03,6868001.0,14,0.0,0.0
NODO_04,NODO_PRINCIPAL,7676001.0,SANTIAGO DE CALI,VALLE DEL CAUCA,3.413686,-76.52133,Cat.A,57318,NODO_04,7676001.0,10,0.0,0.0
NODO_05,NODO_PRINCIPAL,7373001.0,Ibagué,TOLIMA,4.432248,-75.19425,Cat.A,55000,NODO_27,7373001.0,8,0.0,0.0
NODO_06,NODO_PRINCIPAL,5252001.0,Pasto,Nariño,1.212352,-77.278795,Cat.A,52000,NODO_37,5252001.0,23,0.0,0.0
NODO_07,NODO_PRINCIPAL,2525473.0,Mosquera,CUNDINAMARCA,4.70653,-74.221154,Cat.A,50283,NODO_07,2525473.0,18,0.0,0.0
NODO_08,NODO_PRINCIPAL,2020001.0,Valledupar,Cesar,10.460472,-73.259398,Cat.A,40000,NODO_08,2020001.0,2,0.0,0.0
NODO_09,NODO_PRINCIPAL,5454001.0,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,7.905725,-72.508178,Cat.A,35320,NODO_09,5454001.0,14,0.0,0.0
NODO_10,NODO_PRINCIPAL,55001.0,MEDELLÍN,ANTIOQUIA,6.246631,-75.581775,Cat.A,27733,NODO_10,55001.0,5,0.0,0.0
NODO_11,NODO_PRINCIPAL,88001.0,BARRANQUILLA,ATLÁNTICO,10.977961,-74.815546,Cat.A,27550,NODO_11,88001.0,16,0.0,0.0
