codigo_dane,municipio,departamento,latitud,longitud,nodo_cale_id,nodo_cale_municipio,nodo_cale_categoria,distancia_km,metodo
5001,MEDELLÍN,ANTIOQUIA,6.246631,-75.581775,NODO_10,MEDELLÃN,CALE.n_1,0.0,euclidiana
5002,ABEJORRAL,ANTIOQUIA,5.789315,-75.428739,SAT_024,LA PINTADA,CALE.C4,28.63,euclidiana
5004,ABRIAQUÍ,ANTIOQUIA,6.632282,-76.064304,NODO_22,SANTA FÃ DE ANTIOQUIA,CALE.n_2,38.6,euclidiana
5021,ALEJANDRÍA,ANTIOQUIA,6.376061,-75.141346,NODO_21,BARBOSA,CALE.n_2,31.03,euclidiana
5030,AMAGÁ,ANTIOQUIA,6.038708,-75.702188,NODO_36,ARMENIA,CALE.n_2,22.41,euclidiana
5031,AMALFI,ANTIOQUIA,6.909655,-75.077501,SAT_009,CAMPAMENTO,CALE.C2,35.79,euclidiana
5034,ANDES,ANTIOQUIA,5.657194,-75.878828,SAT_005,PUEBLORRICO,CALE.C2,21.77,euclidiana
5036,ANGELÓPOLIS,ANTIOQUIA,6.109719,-75.711389,NODO_36,ARMENIA,CALE.n_2,13.67,euclidiana
5038,ANGOSTURA,ANTIOQUIA,6.885175,-75.335116,SAT_009,CAMPAMENTO,CALE.C2,15.8,euclidiana
5040,ANORÍ,ANTIOQUIA,7.074703,-75.148355,SAT_009,CAMPAMENTO,CALE.C2,27.45,euclidiana
5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,6.556484,-75.826648,NODO_22,SANTA FÃ DE ANTIOQUIA,CALE.n_2,0.0,euclidiana
5044,ANZÁ,ANTIOQUIA,6.302641,-75.854442,NODO_36,ARMENIA,CALE.n_2,25.17,euclidiana
5045,APARTADÓ,ANTIOQUIA,7.882968,-76.625279,NODO_48,APARTADÃ,CALE.n_3,0.0,euclidiana
5051,ARBOLETES,ANTIOQUIA,8.849317,-76.426708,SAT_044,PUERTO ESCONDIDO,CALE.C2,35.27,euclidiana
5055,ARGELIA,ANTIOQUIA,5.731474,-75.14107,SAT_078,OLAYA HERRERA,CALE.C2,19.56,euclidiana
5059,ARMENIA,ANTIOQUIA,6.155667,-75.786647,NODO_36,ARMENIA,CALE.n_2,0.0,nodo_propio
5079,BARBOSA,ANTIOQUIA,6.439195,-75.331627,NODO_21,BARBOSA,CALE.n_2,0.0,nodo_propio
5086,BELMIRA,ANTIOQUIA,6.606319,-75.667779,NODO_22,SANTA FÃ DE ANTIOQUIA,CALE.n_2,25.76,euclidiana
