file,capex,opex_anual,capacidad_anual,zeros,missing
C:\guezarel\output\fichas_html\BIM_L0_001.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_002.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_003.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_004.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_005.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_006.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_007.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_008.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_009.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_010.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_011.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_012.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_013.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_014.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_015.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_016.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_017.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_018.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_019.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_020.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_021.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_022.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_023.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_024.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_025.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_026.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_027.html,,,,,capex;opex;capacidad
C:\guezarel\output\fichas_html\BIM_L0_028.html,,,,,capex;opex;capacidad
